Timestamp;gLeftWheelTicks;gRightWheelTicks;gTheta_hat;gX_hat;gY_hat
6000;0;0;2.961110E-002;142;1
30000;0;0;2.960933E-002;142;1
56000;0;0;2.960933E-002;142;1
79000;0;0;2.961822E-002;142;1
104000;0;0;2.961822E-002;142;1
127000;0;0;2.961645E-002;142;1
150000;0;0;2.963066E-002;142;1
176000;0;0;2.963066E-002;142;1
201000;0;0;2.962622E-002;142;1
224000;0;0;2.962622E-002;142;1
246000;0;0;2.963245E-002;142;1
268000;0;0;2.962269E-002;142;1
292000;0;0;2.962269E-002;142;1
317000;0;0;2.961825E-002;142;1
341000;0;0;2.961825E-002;142;1
364000;0;0;2.962448E-002;142;1
388000;0;0;2.962448E-002;142;1
414000;0;0;2.963070E-002;142;1
439000;0;0;2.961295E-002;142;1
463000;0;0;2.961295E-002;142;1
486000;0;0;2.961384E-002;142;1
510000;0;0;2.960675E-002;142;1
536000;0;0;2.960675E-002;142;1
561000;0;0;2.961030E-002;142;1
585000;0;0;2.961030E-002;142;1
609000;0;0;2.961120E-002;142;1
633000;0;0;2.959079E-002;142;1
656000;0;0;2.959079E-002;142;1
682000;0;0;2.958902E-002;142;1
706000;0;0;2.958902E-002;142;1
728000;0;0;2.958725E-002;142;1
752000;0;0;2.958725E-002;142;1
778000;0;0;2.958814E-002;142;1
803000;0;0;2.957039E-002;142;1
826000;0;0;2.957039E-002;142;1
850000;0;0;2.956330E-002;142;1
874000;0;0;2.955087E-002;142;1
900000;0;0;2.955087E-002;142;1
925000;0;0;2.953845E-002;142;1
949000;0;0;2.953845E-002;142;1
972000;0;0;2.952070E-002;142;1
995000;0;0;2.952160E-002;142;1
1021000;0;0;2.952160E-002;142;1
1046000;0;0;2.954113E-002;142;1
1070000;0;0;2.954113E-002;142;1
1094000;0;0;2.953937E-002;142;1
1119000;0;0;2.954292E-002;142;1
1144000;0;0;2.954292E-002;142;1
1167000;0;0;2.953849E-002;142;1
1191000;0;0;2.953849E-002;142;1
1215000;0;0;2.953938E-002;142;1
1238000;0;0;2.953229E-002;142;1
1263000;0;0;2.953229E-002;142;1
1288000;0;0;2.953052E-002;142;1
1311000;0;0;2.953052E-002;142;1
1334000;0;0;2.953674E-002;142;1
1358000;0;0;2.953497E-002;142;1
1384000;0;0;2.953497E-002;142;1
1409000;0;0;2.953587E-002;142;1
1433000;0;0;2.953587E-002;142;1
1457000;0;0;2.952611E-002;142;1
1480000;0;0;2.952700E-002;142;1
1506000;0;0;2.952700E-002;142;1
1529000;0;0;2.955453E-002;142;1
1553000;0;0;2.955453E-002;142;1
1575000;0;0;2.956341E-002;142;1
1599000;0;0;2.956164E-002;142;1
1622000;0;0;2.956164E-002;142;1
1647000;0;0;2.955721E-002;142;1
1669000;0;0;2.955721E-002;142;1
1692000;0;0;2.956077E-002;142;1
1716000;0;0;2.956077E-002;142;1
1742000;0;0;2.954834E-002;142;1
1767000;0;0;2.954391E-002;142;1
1789000;0;0;2.954391E-002;142;1
1812000;0;0;2.954747E-002;142;1
1836000;0;0;2.954747E-002;142;1
1860000;0;0;2.952972E-002;142;1
1884000;0;0;2.953061E-002;142;1
1910000;0;0;2.953061E-002;142;1
1933000;0;0;2.953683E-002;142;1
1956000;0;0;2.953683E-002;142;1
1978000;0;0;2.953506E-002;142;1
2001000;0;0;2.953329E-002;142;1
2025000;0;0;2.953329E-002;142;1
2051000;0;0;2.955283E-002;142;1
2074000;0;0;2.955283E-002;142;1
2098000;0;0;2.954840E-002;142;1
2122000;0;0;2.954929E-002;142;1
2147000;0;0;2.954929E-002;142;1
2173000;0;0;2.956617E-002;142;1
2196000;0;0;2.956617E-002;142;1
2220000;0;0;2.956706E-002;142;1
2244000;0;0;2.956529E-002;142;1
2267000;0;0;2.956529E-002;142;1
2293000;0;0;2.955553E-002;142;1
2316000;0;0;2.955553E-002;142;1
2339000;0;0;2.955110E-002;142;1
2362000;0;0;2.955110E-002;142;1
2386000;0;0;2.955998E-002;142;1
2409000;0;0;2.956620E-002;142;1
2435000;0;0;2.956620E-002;142;1
2458000;0;0;2.955911E-002;142;1
2482000;0;0;2.955911E-002;142;1
2508000;0;0;2.956000E-002;142;1
2533000;0;0;2.954758E-002;142;1
2555000;0;0;2.954758E-002;142;1
2578000;0;0;2.956712E-002;142;1
2602000;0;0;2.956712E-002;142;1
2626000;0;0;2.955203E-002;142;1
2649000;0;0;2.955026E-002;142;1
2673000;0;0;2.955026E-002;142;1
2699000;0;0;2.953784E-002;142;1
2722000;0;0;2.953784E-002;142;1
2745000;0;0;2.953607E-002;142;1
2769000;0;0;2.952898E-002;142;1
2795000;0;0;2.952898E-002;142;1
2818000;0;0;2.954319E-002;142;1
2842000;0;0;2.954319E-002;142;1
2866000;0;0;2.955207E-002;142;1
2890000;0;0;2.954764E-002;142;1
2915000;0;0;2.954764E-002;142;1
2940000;0;0;2.954054E-002;142;1
2964000;0;0;2.954054E-002;142;1
2988000;0;0;2.955209E-002;142;1
3011000;0;0;2.954499E-002;142;1
3036000;0;0;2.954499E-002;142;1
3060000;0;0;2.954855E-002;142;1
3083000;0;0;2.954855E-002;142;1
3107000;0;0;2.954146E-002;142;1
3130000;0;0;2.955567E-002;142;1
3154000;0;0;2.955567E-002;142;1
3181000;0;0;2.954857E-002;142;1
3205000;0;0;2.954857E-002;142;1
3229000;0;0;2.955213E-002;142;1
3252000;0;0;2.953971E-002;142;1
3278000;0;0;2.953971E-002;142;1
3301000;0;0;2.954593E-002;142;1
3325000;0;0;2.954593E-002;142;1
3347000;0;0;2.954150E-002;142;1
3371000;0;0;2.953973E-002;142;1
3396000;0;0;2.953973E-002;142;1
3420000;0;0;2.954328E-002;142;1
3443000;0;0;2.954328E-002;142;1
3465000;0;0;2.954418E-002;142;1
